ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,Total
2018,15570,13364,15700,14335,14322,13452,13498,14952,14167,14013.0,12804.0,12626.0,168803
2019,14199,13229,14605,14211,14172,13182,13468,12788,12292,11256.0,10533.0,12413.0,156348
2020,12644,10240,8068,7155,7941,8626,8418,7814,8129,6714.0,6698.0,6992.0,99439
2021,8195,8188,8910,8374,7472,6981,6582,5653,10598,10355.0,10293.0,10241.0,101842
2022,16393,16147,19452,18787,19572,18605,19213,17755,14893,0.0,0.0,0.0,160817
