ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,Total
2018,48076,55626,69592,76943,58997,44889,45554.0,66286.0,52629.0,778760.0,258334.0,48350.0,1604036
2019,51939,65760,67004,59395,60711,47079,51991.0,53737.0,74098.0,145010.0,99466.0,80905.0,857095
2020,15092,25081,32811,19156,21227,22352,19945.0,13777.0,6366.0,4859.0,5921.0,3899.0,190486
2021,3444,3472,3445,4383,4100,3828,3487.0,2769.0,55193.0,62399.0,81989.0,52543.0,281052
2022,88752,247518,227124,178109,136552,72294,0.0,0.0,0.0,0.0,0.0,0.0,950349
