ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,Total
2018,47709,257587,777874,52176,65942,45108,44544,58574,76555,69182.0,55347.0,47442.0,1598040
2019,51312,65032,66158,58810,59828,46475,51302,52849,73303,143902.0,98568.0,80153.0,847692
2020,14420,12343,12138,12617,12498,11691,9943,5697,422,9.0,8.0,5.0,91791
2021,2,5,2,8,1,4,1,6,51054,57821.0,76872.0,43932.0,229708
2022,52597,103479,94272,83608,84083,90501,99570,105370,89357,0.0,0.0,0.0,802837
