ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,otros,Total
2018,0,0,0,0,0,0,0,12,9,0.0,0.0,42.0,0,63
2019,0,0,0,214,0,239,425,656,640,902.0,680.0,641.0,4889,9286
2020,705,426,185,709,922,217,397,557,0,0.0,217.0,202.0,4770,9307
2021,0,0,0,0,214,0,440,1041,1060,513.0,1143.0,467.0,5135,10013
2022,0,0,275,619,682,402,604,946,1001,0.0,0.0,0.0,285,4814
