ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC
2018,0,0,0,0,0,0,0,12,21,21.0,21.0,63.0
2019,63.0,63.0,63.0,277.0,277.0,516.0,941.0,1597.0,2237.0,3139.0,3819.0,9349.0
2020,10054.0,10480.0,10665.0,11374.0,12296.0,12513.0,12910.0,13467.0,13467.0,13467.0,13684.0,18656.0
2021,18656.0,18656.0,18656.0,18656.0,18870.0,18870.0,19310.0,20351.0,21411.0,21924.0,23067.0,28669.0
2022,28669.0,28669.0,28944.0,29563.0,30245.0,30647.0,31251.0,32197.0,33198.0,33198.0,33198.0,33483.0
