ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC
2018,0,0,0,0,12,12,12.0,16.0,17.0,19.0,19.0,31.0
2019,31.0,31.0,31.0,156.0,281.0,281.0,281.0,281.0,307.0,330.0,367.0,523.0
2020,570.0,592.0,599.0,599.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,677.0
2021,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0
2022,678.0,678.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,680.0
