ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC
2018,15570,28934,44634,58969,73291,86743,100241,115193,129360,143373.0,156177.0,168803.0
2019,183002.0,196231.0,210836.0,225047.0,239219.0,252401.0,265869.0,278657.0,290949.0,302205.0,312738.0,325151.0
2020,337795.0,348035.0,356103.0,363258.0,371199.0,379825.0,388243.0,396057.0,404186.0,410900.0,417598.0,424590.0
2021,432785.0,440973.0,449883.0,458257.0,465729.0,472710.0,479292.0,484945.0,495543.0,505898.0,516191.0,526432.0
2022,542825.0,558972.0,578424.0,597211.0,616783.0,635388.0,654601.0,672356.0,687249.0,687249.0,687249.0,687249.0
