ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC
2018,47709,305296,1083170,1135346,1201288,1246396,1290940,1349514,1426069,1495251.0,1550598.0,1598040.0
2019,1649352.0,1714384.0,1780542.0,1839352.0,1899180.0,1945655.0,1996957.0,2049806.0,2123109.0,2267011.0,2365579.0,2445732.0
2020,2460152.0,2472495.0,2484633.0,2497250.0,2509748.0,2521439.0,2531382.0,2537079.0,2537501.0,2537510.0,2537518.0,2537523.0
2021,2537525.0,2537530.0,2537532.0,2537540.0,2537541.0,2537545.0,2537546.0,2537552.0,2588606.0,2646427.0,2723299.0,2767231.0
2022,2819828.0,2923307.0,3017579.0,3101187.0,3185270.0,3275771.0,3375341.0,3480711.0,3570068.0,3570068.0,3570068.0,3570068.0
