ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC
2018,11021179,11278766,12056640,12108816,12174758,12219866,12264410.0,12322984.0,12399539.0,12468721.0,12524068.0,12571510.0
2019,12622822.0,12687854.0,12754012.0,12812822.0,12872650.0,12919125.0,12970427.0,13023276.0,13096579.0,13240481.0,13339049.0,13419202.0
2020,13433622.0,13445965.0,13458103.0,13470720.0,13483218.0,13494909.0,13504852.0,13510549.0,13510971.0,13510980.0,13510988.0,13510993.0
2021,13510995.0,13511000.0,13511002.0,13511010.0,13511011.0,13511015.0,13511016.0,13511022.0,13562076.0,13619897.0,13696769.0,13740701.0
2022,13786225.0,13872950.0,13953066.0,14030691.0,14103027.0,14172606.0,14172606.0,14172606.0,14172606.0,14172606.0,14172606.0,14172606.0
