ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC
2018,44494502,44494502,44494502,44494502,44494502,44494502,44494502,44531519.5,44568537.0,44605554.5,44642572.0,44679589.5
2019,44716607.0,44753624.5,44790642.0,44827659.5,44864677.0,44901694.5,44938712,44975216.25,45011720.5,45048224.75,45084729.0,45121233.25
2020,45157737.5,45194241.75,45230746.0,45267250.25,45303754.5,45340258.75,45376763,45412761.666666664,45448760.333333336,45484759.0,45520757.666666664,45556756.333333336
2021,45592755.0,45628753.666666664,45664752.333333336,45700751.0,45736749.666666664,45772748.333333336,45808747,45844253.916666664,45879760.833333336,45915267.75,45950774.666666664,45986281.583333336
2022,46021788.5,46057295.416666664,46092802.333333336,46128309.25,46163816.166666664,46199323.083333336,46234830,46234830,46234830,46234830,46234830,46234830
