ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC
2018,10973470,10973470,10973470,10973470,10973470,10973470,10973470,10976731.333333334,10979992.666666666,10983254.0,10986515.333333334,10989776.666666666
2019,10993038.0,10996299.333333334,10999560.666666666,11002822.0,11006083.333333334,11009344.666666666,11012606,11015527.583333334,11018449.166666666,11021370.75,11024292.333333334,11027213.916666666
2020,11030135.5,11033057.083333334,11035978.666666666,11038900.25,11041821.833333334,11044743.416666666,11047665,11050180.916666666,11052696.833333334,11055212.75,11057728.666666666,11060244.583333334
2021,11062760.5,11065276.416666666,11067792.333333334,11070308.25,11072824.166666666,11075340.083333334,11077856,11079863.416666666,11081870.833333334,11083878.25,11085885.666666666,11087893.083333334
2022,11089900.5,11091907.916666666,11093915.333333334,11095922.75,11097930.166666666,11099937.583333334,11101945,11101945,11101945,11101945,11101945,11101945
