AÑO,Cantidad de infectados,,,,,,,,,,,,,,Cantidad de vacunados,,,,,,,,,,,,,Cantidad de habitantes,,,,,,,,,,,,,Población expuesta,,,,,,,,,,,,,,Población recuperada,,,,,,,,,,,,,,Población muerta,,,,,,,,,,,,,
,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,otros,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,otros,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,otros,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,otros,Total
2018,0,0,0,0,160,7,20,16,27,16,19,0,161,426,47709,257587,777874,52176,65942,45108,44544,58574,76555,69182,55347,47442,1598040,,,,,,,"10,973,470",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2019,0,187,5,7,12,12,6,0,21,11,10,11,183,465,51312,65032,66158,58810,59828,46475,51302,52849,73303,143902,98568,80153,847692,,,,,,,"11,012,606",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2020,110,21,20,1,5,2,0,2,0,0,0,4,98,263,14420,12343,12138,12617,12498,11691,9943,5697,422,9,8,5,91791,,,,,,,"11,047,665",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2021,48,0,3,0,3,4,0,5,4,12,5,2,58,144,2,5,2,8,1,4,1,6,51054,57821,76872,43932,229708,,,,,,,"11,077,856",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2022,0,109,0,104,15,8,4,37,9,2,0,0,0,288,52597,103479,94272,83608,84083,90501,99570,105370,89357,NN,NN,NN,802837,,,,,,,"11,101,945",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
TOTAL,158,317,28,112,195,33,30,60,61,41,34,17,500,1586,166040,438446,950444,207219,222352,193779,205360,222496,290691,270914,230795,171532,3576064,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población al 1º de julio de 2017: ,,,,,"10,931,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
