ANO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC
2018,44542578.0,44598204.0,44667796.0,44744739.0,44803736.0,44848625.0,44894179.0,44960465.0,45013094.0,45791854.0,46050188.0,46098538.0
2019,46150477.0,46216237.0,46283241.0,46342636.0,46403347.0,46450426.0,46502417.0,46556154.0,46630252.0,46775262.0,46874728.0,46955633.0
2020,46970725.0,46995806.0,47028617.0,47047773.0,47069000.0,47091352.0,47111297.0,47125074.0,47131440.0,47136299.0,47142220.0,47146119.0
2021,47149563.0,47153035.0,47156480.0,47160863.0,47164963.0,47168791.0,47172278.0,47175047.0,47230240.0,47292639.0,47374628.0,47427171.0
2022,47515923.0,47763441.0,47990565.0,48168674.0,48305226.0,48377520.0,48377520.0,48377520.0,48377520.0,48377520.0,48377520.0,48377520.0
