AÑO,Cantidad de infectados,,,,,,,,,,,,,,Cantidad de vacunados,,,,,,,,,,,,,Cantidad de habitantes,,,,,,,,,,,,,Población expuesta,,,,,,,,,,,,,,Población recuperada,,,,,,,,,,,,,,Población muerta,,,,,,,,,,,,,
,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,otros,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,otros,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,otros,Total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGOS,SEP,OCT,NOV,DIC,otros,Total
2018,0,0,0,0,0,0,0,12,9,0,0,42,0,63,15570,13364,15700,14335,14322,13452,13498,14952,14167,14013,12804,12626,168803,,,,,,,"44,494,502",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2019,0,0,0,214,0,239,425,656,640,902,680,641,4889,9286,14199,13229,14605,14211,14172,13182,13468,12788,12292,11256,10533,12413,156348,,,,,,,"44,938,712",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2020,705,426,185,709,922,217,397,557,0,0,217,202,4770,9307,12644,10240,8068,7155,7941,8626,8418,7814,8129,6714,6698,6992,99439,,,,,,,"45,376,763",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2021,0,0,0,0,214,0,440,1041,1060,513,1143,467,5135,10013,8195,8188,8910,8374,7472,6981,6582,5653,10598,10355,10293,10241,101842,,,,,,,"45,808,747",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2022,0,0,275,619,682,402,604,946,1001,NN,NN,NN,285,4814,16393,16147,19452,18787,19572,18605,19213,17755,14893,NN,NN,NN,160817,,,,,,,"46,234,830.00",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
TOTAL,705,426,460,1542,1818,858,1866,3212,2710,1415,2040,1352,15079,33483,67001,61168,66735,62862,63479,60846,61179,58962,60079,42338,40328,42272,687249,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población al 1º de julio de 2017: ,,,,,"44,044,811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
