Entity,Code,Day,people_vaccinated,145608-annotations
Afghanistan,AFG,2021-02-22,0,
Afghanistan,AFG,2021-02-28,8200,
Afghanistan,AFG,2021-03-16,54000,
Afghanistan,AFG,2021-04-07,120000,
Afghanistan,AFG,2021-04-22,240000,
Afghanistan,AFG,2021-05-11,448878,
Afghanistan,AFG,2021-05-20,470341,
Afghanistan,AFG,2021-05-24,476367,
Afghanistan,AFG,2021-05-26,479372,
Afghanistan,AFG,2021-05-27,479574,
Afghanistan,AFG,2021-05-30,480226,
Afghanistan,AFG,2021-06-02,481690,
Afghanistan,AFG,2021-06-03,481800,
Afghanistan,AFG,2021-06-08,482952,
Afghanistan,AFG,2021-06-14,484737,
Afghanistan,AFG,2021-06-22,582128,
Afghanistan,AFG,2021-06-27,649434,
Afghanistan,AFG,2021-06-30,699200,
Afghanistan,AFG,2021-07-05,726349,
Afghanistan,AFG,2021-07-07,735213,
Afghanistan,AFG,2021-07-11,742934,
Afghanistan,AFG,2021-08-20,770542,
Afghanistan,AFG,2021-08-31,773002,
Afghanistan,AFG,2021-09-30,828601,
Afghanistan,AFG,2021-11-14,3530173,
Afghanistan,AFG,2021-12-27,4142857,
Afghanistan,AFG,2022-01-09,4358570,
Afghanistan,AFG,2022-01-11,4378818,
Afghanistan,AFG,2022-01-13,4405897,
Afghanistan,AFG,2022-01-17,4432926,
Afghanistan,AFG,2022-01-19,4450211,
Afghanistan,AFG,2022-01-24,4486527,
Afghanistan,AFG,2022-01-26,4511372,
Afghanistan,AFG,2022-01-27,4517380,
Afghanistan,AFG,2022-01-31,4554648,
Afghanistan,AFG,2022-02-02,4577740,
Afghanistan,AFG,2022-02-07,4634282,
Afghanistan,AFG,2022-02-14,4723416,
Afghanistan,AFG,2022-02-20,4801524,
Afghanistan,AFG,2022-02-27,4907058,
Afghanistan,AFG,2022-03-06,4952744,
Afghanistan,AFG,2022-03-17,5066540,
Afghanistan,AFG,2022-03-22,5082824,
Afghanistan,AFG,2022-04-04,5188057,
Afghanistan,AFG,2022-04-14,5246981,
Afghanistan,AFG,2022-04-18,5253929,
Afghanistan,AFG,2022-04-26,5286657,
Afghanistan,AFG,2022-04-27,5287027,
Afghanistan,AFG,2022-05-05,5318484,
Afghanistan,AFG,2022-05-08,5320381,
Afghanistan,AFG,2022-05-10,5326298,
Afghanistan,AFG,2022-05-15,5359930,
Afghanistan,AFG,2022-05-23,5407462,
Afghanistan,AFG,2022-06-01,5456919,
Afghanistan,AFG,2022-06-15,5573175,
Afghanistan,AFG,2022-06-21,5629522,
Afghanistan,AFG,2022-06-30,5713284,
Afghanistan,AFG,2022-07-10,5755294,
Afghanistan,AFG,2022-07-17,5969406,
Afghanistan,AFG,2022-07-19,7139453,
Afghanistan,AFG,2022-07-27,7294709,
Afghanistan,AFG,2022-08-07,9066437,
Afghanistan,AFG,2022-08-15,10454698,
Afghanistan,AFG,2022-08-22,10615478,
Afghanistan,AFG,2022-08-31,10730669,
Afghanistan,AFG,2022-09-04,10748257,
Afghanistan,AFG,2022-09-11,10823299,
Afghanistan,AFG,2022-09-12,10827184,
Afghanistan,AFG,2022-09-19,10873999,
Afghanistan,AFG,2022-09-26,10917914,
Afghanistan,AFG,2022-09-28,10929549,
Afghanistan,AFG,2022-10-04,10961643,
Afghanistan,AFG,2022-10-11,10987211,
Afghanistan,AFG,2022-10-16,11012345,
Afghanistan,AFG,2022-10-24,11084618,
Afghanistan,AFG,2022-11-01,11130641,
Afghanistan,AFG,2022-11-02,11165700,
Africa,,2021-01-09,0,
Africa,,2021-01-10,0,
Africa,,2021-01-11,0,
Africa,,2021-01-12,0,
Africa,,2021-01-13,2000,
Africa,,2021-01-14,2000,
Africa,,2021-01-15,4000,
Africa,,2021-01-16,7000,
Africa,,2021-01-17,7000,
Africa,,2021-01-18,7000,
Africa,,2021-01-19,10976,
Africa,,2021-01-20,13163,
Africa,,2021-01-21,13163,
Africa,,2021-01-22,16890,
Africa,,2021-01-23,18353,
Africa,,2021-01-24,18353,
Africa,,2021-01-25,19889,
Africa,,2021-01-26,22712,
Africa,,2021-01-27,25587,
Africa,,2021-01-28,28779,
Africa,,2021-01-29,30861,
Africa,,2021-01-30,32206,
Africa,,2021-01-31,32206,
Africa,,2021-02-01,36631,
Africa,,2021-02-02,37836,
Africa,,2021-02-03,38746,
Africa,,2021-02-04,38746,
Africa,,2021-02-05,38746,
Africa,,2021-02-06,39248,
Africa,,2021-02-07,39248,
Africa,,2021-02-08,39373,
Africa,,2021-02-09,39382,
Africa,,2021-02-10,39385,
Africa,,2021-02-11,39611,
Africa,,2021-02-12,39611,
Africa,,2021-02-13,43458,
Africa,,2021-02-14,43458,
Africa,,2021-02-15,43467,
Africa,,2021-02-16,43474,
Africa,,2021-02-17,47134,
Africa,,2021-02-18,50215,
Africa,,2021-02-19,2487572,
Africa,,2021-02-20,2581895,
Africa,,2021-02-21,2588660,
Africa,,2021-02-22,2700632,
Africa,,2021-02-23,2799750,
Africa,,2021-02-24,3091099,
Africa,,2021-02-25,3367981,
Africa,,2021-02-26,3557825,
Africa,,2021-02-27,3681069,
Africa,,2021-02-28,3688796,
Africa,,2021-03-01,3834895,
Africa,,2021-03-02,3934943,
Africa,,2021-03-03,4039134,
Africa,,2021-03-04,4132764,
Africa,,2021-03-05,4283815,
Africa,,2021-03-06,4409872,
Africa,,2021-03-07,4450882,
Africa,,2021-03-08,4724802,
Africa,,2021-03-09,4799463,
Africa,,2021-03-10,5002177,
Africa,,2021-03-11,5072638,
Africa,,2021-03-12,5129777,
