,Susceptible,Infected,Recovered,Vaccinated
94,0.9552831,2.1960087e-15,0.0004035053,0.04390983
95,0.95468676,2.2264824e-15,0.0004035053,0.044506203
96,0.9540908,2.2573583e-15,0.0004035053,0.045102205
97,0.95349514,2.288641e-15,0.0004035053,0.045697834
98,0.9528999,2.3203362e-15,0.0004035053,0.04629309
99,0.95230496,2.3524485e-15,0.0004035053,0.046887975
100,0.95171046,2.3849833e-15,0.0004035053,0.04748249
101,0.9511163,2.417946e-15,0.0004035053,0.048076633
102,0.95052254,2.4513417e-15,0.0004035053,0.048670404
103,0.9499291,2.4851758e-15,0.0004035053,0.049263805
104,0.9493361,2.5194538e-15,0.0004035053,0.049856834
105,0.94874346,2.554181e-15,0.0004035053,0.050449494
106,0.9481512,2.5893634e-15,0.0004035053,0.051041786
107,0.94755924,2.6250063e-15,0.0004035053,0.051633704
108,0.94696766,2.6611156e-15,0.0004035053,0.052225254
109,0.9463765,2.697697e-15,0.0004035053,0.052816436
110,0.9457857,2.7347562e-15,0.0004035053,0.053407248
111,0.94519526,2.7722992e-15,0.0004035053,0.05399769
112,0.9446052,2.810332e-15,0.0004035053,0.054587767
113,0.94401544,2.8488606e-15,0.0004035053,0.055177473
114,0.94342613,2.887891e-15,0.0004035053,0.05576681
115,0.9428372,2.9274295e-15,0.0004035053,0.05635578
116,0.9422486,2.9674825e-15,0.0004035053,0.056944385
117,0.94166034,3.0080562e-15,0.0004035053,0.05753262
118,0.94107246,3.0491568e-15,0.0004035053,0.05812049
